,DATE,HourlySkyConditions
17856,2022-05-28T15:51:00,BKN:07 27 BKN:07 32 OVC:08 80
10163,2021-11-04T09:53:00,
898,2021-01-22T06:51:00,BKN:07 3 BKN:07 34 BKN:07 50
20719,2022-08-29T22:53:00,CLR:00
24515,2022-12-13T09:53:00,CLR:00
24576,2022-12-15T02:53:00,CLR:00
24328,2022-12-09T02:53:00,CLR:00
8583,2021-09-24T03:53:00,CLR:00
14672,2022-02-18T09:53:00,CLR:00
18940,2022-07-04T23:53:00,BKN:07 18 OVC:08 22
1504,2021-02-06T06:05:00,CLR:00
18468,2022-06-19T23:53:00,CLR:00
23221,2022-11-09T01:48:00,VV:09 2
5826,2021-06-27T03:53:00,OVC:08 4
10546,2021-11-12T21:19:00,CLR:00
14807,2022-02-23T03:53:00,CLR:00
15946,2022-03-28T21:50:00,VV:09 4
5730,2021-06-24T04:53:00,OVC:08 9
16888,2022-04-24T18:53:00,CLR:00
4460,2021-05-10T19:53:00,CLR:00
1902,2021-02-16T02:53:00,CLR:00
12357,2021-12-23T03:29:00,FEW:02 4 OVC:08 31
7911,2021-09-03T00:53:00,OVC:08 7
21670,2022-09-29T04:15:00,VV:09 1
6597,2021-07-23T00:53:00,CLR:00
18132,2022-06-06T20:53:00,CLR:00
16025,2022-03-30T11:53:00,FEW:02 40 SCT:04 200
19072,2022-07-09T00:53:00,BKN:07 3
23253,2022-11-09T21:16:00,VV:09 2
23721,2022-11-24T05:13:00,VV:09 1
18035,2022-06-04T15:53:00,BKN:07 43 OVC:08 50
10165,2021-11-04T10:53:00,SCT:04 23
24895,2022-12-22T14:53:00,BKN:07 49
12788,2022-01-03T01:53:00,OVC:08 28
1807,2021-02-13T18:53:00,CLR:00
20883,2022-09-02T23:53:00,CLR:00
24626,2022-12-16T03:23:00,FEW:02 1
21243,2022-09-16T04:53:00,CLR:00
14892,2022-02-26T12:53:00,OVC:08 250
13342,2022-01-14T01:53:00,VV:09 2
18816,2022-07-01T05:30:00,OVC:08 3
13173,2022-01-10T07:11:00,VV:09 1
21659,2022-09-28T23:53:00,CLR:00
5255,2021-06-06T23:53:00,CLR:00
7660,2021-08-26T01:20:00,SCT:04 6
13654,2022-01-20T23:06:00,CLR:00
18465,2022-06-19T20:53:00,CLR:00
4418,2021-05-09T02:53:00,CLR:00
7228,2021-08-11T22:53:00,CLR:00
17508,2022-05-15T20:53:00,CLR:00
12121,2021-12-18T10:51:00,OVC:08 1
704,2021-01-16T17:53:00,CLR:00
1108,2021-01-27T05:53:00,FEW:02 120
4784,2021-05-21T11:53:00,SCT:04 70
14548,2022-02-13T23:59:00,
12914,2022-01-05T11:53:00,BKN:07 9 OVC:08 22
20236,2022-08-14T15:53:00,CLR:00
5277,2021-06-07T19:53:00,CLR:00
11862,2021-12-13T10:12:00,BKN:07 6 OVC:08 14
14810,2022-02-23T06:53:00,CLR:00
2327,2021-03-03T23:59:00,
18767,2022-06-29T14:53:00,CLR:00
7596,2021-08-24T00:53:00,OVC:08 6
10117,2021-11-03T14:53:00,CLR:00
20246,2022-08-15T00:53:00,CLR:00
11420,2021-12-02T20:53:00,CLR:00
20940,2022-09-05T05:53:00,CLR:00
2035,2021-02-20T11:53:00,SCT:04 50
10678,2021-11-15T12:53:00,OVC:08 5
16115,2022-04-02T10:53:00,SCT:04 200
22787,2022-10-30T21:47:00,FEW:02 5
24537,2022-12-14T05:51:00,CLR:00
24126,2022-12-05T03:53:00,OVC:08 55
18036,2022-06-04T16:53:00,OVC:08 41
2303,2021-03-03T01:53:00,CLR:00
25208,2022-12-28T07:53:00,VV:09 2
8989,2021-10-08T05:24:00,OVC:08 4
22069,2022-10-10T03:53:00,VV:09 2
22139,2022-10-12T00:53:00,OVC:08 3
1740,2021-02-11T15:51:00,FEW:02 7 SCT:04 55 OVC:08 70
24692,2022-12-17T15:53:00,CLR:00
10738,2021-11-16T11:53:00,SCT:04 250
15941,2022-03-28T21:03:00,VV:09 1
5746,2021-06-24T17:53:00,CLR:00
18408,2022-06-17T14:53:00,FEW:02 20 SCT:04 60 SCT:04 120
17282,2022-05-08T21:53:00,FEW:02 38 SCT:04 49
3936,2021-04-23T03:30:00,OVC:08 10
15563,2022-03-19T02:53:00,CLR:00
9001,2021-10-08T11:53:00,CLR:00
9387,2021-10-20T21:02:00,FEW:02 18 OVC:08 31
22148,2022-10-12T04:07:00,VV:09 3
20063,2022-08-09T03:11:00,CLR:00
5495,2021-06-15T18:53:00,CLR:00
18554,2022-06-23T09:53:00,CLR:00
16274,2022-04-08T17:53:00,CLR:00
20880,2022-09-02T20:53:00,CLR:00
1556,2021-02-07T10:53:00,FEW:02 250
20453,2022-08-21T23:53:00,OVC:08 4
23772,2022-11-25T22:53:00,CLR:00
21490,2022-09-24T16:53:00,CLR:00
18189,2022-06-09T02:53:00,CLR:00
12284,2021-12-22T03:42:00,SCT:04 4 OVC:08 9
16141,2022-04-03T11:53:00,CLR:00
8761,2021-09-30T03:53:00,CLR:00
21802,2022-10-03T05:53:00,
8388,2021-09-18T10:12:00,OVC:08 7
7020,2021-08-04T21:53:00,CLR:00
5820,2021-06-27T00:43:00,OVC:08 4
22202,2022-10-13T08:39:00,OVC:08 4
6513,2021-07-19T21:53:00,CLR:00
8151,2021-09-10T12:53:00,CLR:00
10869,2021-11-19T15:00:00,FEW:02 14 OVC:08 22
20910,2022-09-04T00:53:00,CLR:00
14415,2022-02-09T19:53:00,CLR:00
24580,2022-12-15T06:44:00,FEW:02 2
3611,2021-04-12T23:53:00,OVC:08 3
17338,2022-05-10T14:53:00,BKN:07 70
23817,2022-11-27T06:53:00,FEW:02 200
20457,2022-08-22T00:53:00,OVC:08 2
22026,2022-10-09T05:31:00,OVC:08 3
9447,2021-10-21T18:40:00,OVC:08 4
18846,2022-07-02T02:53:00,OVC:08 5
14187,2022-02-03T16:53:00,FEW:02 200
23978,2022-12-02T03:29:00,BKN:07 1
12482,2021-12-25T11:53:00,SCT:04 43 BKN:07 70 OVC:08 90
16341,2022-04-11T06:03:00,BKN:07 17 OVC:08 22
16234,2022-04-07T02:53:00,CLR:00
700,2021-01-16T13:53:00,CLR:00
8648,2021-09-26T09:53:00,SCT:04 20
